"","Activity.Name","SubjectID","Measurement.Name","Average.Value"
"1","Laying",10,"Time.BodyAcc.Mean.X",0.276977089565657
"2","Laying",10,"Time.BodyAcc.Mean.Y",-0.0170332984576263
"3","Laying",10,"Time.BodyAcc.Mean.Z",-0.110873504487879
"4","Laying",10,"Time.BodyAcc.Stdev.X",-0.391986316171717
"5","Laying",10,"Time.BodyAcc.Stdev.Y",-0.385673788492929
"6","Laying",10,"Time.BodyAcc.Stdev.Z",-0.498647004568434
"7","Laying",10,"Time.GravityAcc.Mean.X",0.740684960252525
"8","Laying",10,"Time.GravityAcc.Mean.Y",-0.207161356161616
"9","Laying",10,"Time.GravityAcc.Mean.Z",0.108410428305944
"10","Laying",10,"Time.GravityAcc.Stdev.X",-0.964710125
"11","Laying",10,"Time.GravityAcc.Stdev.Y",-0.95504237949495
"12","Laying",10,"Time.GravityAcc.Stdev.Z",-0.927801700555556
"13","Laying",10,"Time.BodyAccJerk.Mean.X",0.0794633942257576
"14","Laying",10,"Time.BodyAccJerk.Mean.Y",0.0169399674191919
"15","Laying",10,"Time.BodyAccJerk.Mean.Z",-0.0162372728227273
"16","Laying",10,"Time.BodyAccJerk.Stdev.X",-0.388135257723232
"17","Laying",10,"Time.BodyAccJerk.Stdev.Y",-0.446206050364596
"18","Laying",10,"Time.BodyAccJerk.Stdev.Z",-0.68333034690404
"19","Laying",10,"Time.BodyGyro.Mean.X",-0.0150986647713131
"20","Laying",10,"Time.BodyGyro.Mean.Y",-0.0917433860077424
"21","Laying",10,"Time.BodyGyro.Mean.Z",0.0852285528396465
"22","Laying",10,"Time.BodyGyro.Stdev.X",-0.58889324085202
"23","Laying",10,"Time.BodyGyro.Stdev.Y",-0.465358408925253
"24","Laying",10,"Time.BodyGyro.Stdev.Z",-0.496858788129293
"25","Laying",10,"Time.BodyGyroJerk.Mean.X",-0.111993956719192
"26","Laying",10,"Time.BodyGyroJerk.Mean.Y",-0.0397793980300505
"27","Laying",10,"Time.BodyGyroJerk.Mean.Z",-0.0573109579154545
"28","Laying",10,"Time.BodyGyroJerk.Stdev.X",-0.632505796969697
"29","Laying",10,"Time.BodyGyroJerk.Stdev.Y",-0.708431890757576
"30","Laying",10,"Time.BodyGyroJerk.Stdev.Z",-0.607442629772727
"31","Laying",10,"Time.BodyAccMag.Mean",-0.357419738586162
"32","Laying",10,"Time.BodyAccMag.Stdev",-0.424185928311495
"33","Laying",10,"Time.GravityAccMag.Mean",-0.357419738586162
"34","Laying",10,"Time.GravityAccMag.Stdev",-0.424185928311495
"35","Laying",10,"Time.BodyAccJerkMag.Mean",-0.462110641822066
"36","Laying",10,"Time.BodyAccJerkMag.Stdev",-0.409095655168687
"37","Laying",10,"Time.BodyGyroMag.Mean",-0.388314506775758
"38","Laying",10,"Time.BodyGyroMag.Stdev",-0.522604974987475
"39","Laying",10,"Time.BodyGyroJerkMag.Mean",-0.665691018181818
"40","Laying",10,"Time.BodyGyroJerkMag.Stdev",-0.714913442525253
"41","Laying",10,"FreqDS.BodyAcc.Mean.X",-0.391578450863636
"42","Laying",10,"FreqDS.BodyAcc.Mean.Y",-0.384966594429798
"43","Laying",10,"FreqDS.BodyAcc.Mean.Z",-0.554573027192929
"44","Laying",10,"FreqDS.BodyAcc.Stdev.X",-0.393411346447475
"45","Laying",10,"FreqDS.BodyAcc.Stdev.Y",-0.42583273029202
"46","Laying",10,"FreqDS.BodyAcc.Stdev.Z",-0.511764535653535
